"Timestamp","Gender ","Age","Education Level","Are you familiar with technology?","It is easy to use.","It is simple to use.","It is user friendly","It is flexible","Using it is effortless","I can use it without written instructions.","I don't notice any inconsistencies as I use it.","Both occasional and regular users would like it.","I can recover from mistakes quickly and easily","I can use it successfully every time.","It requires the fewest steps possible to accomplish what I want to do with it.","It helps me be more effective.","It helps me be more productive","It is useful.","It gives me more control over the activities in my life.","It makes the things I want to accomplish easier to get done","It meets my needs.","It saves me time when I use it.","It does everything I would expect it to do.","I learned to use it quickly","I easily remember how to use it.","It is easy to learn to use it.","I quickly became skillful with it.","I am satisfied with it.","I would recommend it to a friend.","I feel I need to have it.","It works the way I want it to work. ","It is wonderful.","It is fun to use. ","It is pleasant to use","List the most positive aspects.","List the most negative aspects."
"2023/06/08 10:05:20 AM GMT+8","Male","31 to 47","Degree","Familiar","5","5","5","5","4","4","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","4","4","",""
"2023/06/08 10:19:59 AM GMT+8","Female","31 to 47","Diploma / STPM / Polytechnic","Familiar","5","4","4","4","4","4","4","4","4","5","4","5","5","5","4","4","4","4","4","4","5","4","5","4","5","5","5","4","4","4","",""
"2023/06/08 10:45:25 AM GMT+8","Male","48 to 60","Diploma / STPM / Polytechnic","Familiar","4","4","3","3","4","5","3","4","4","3","3","4","4","4","3","3","4","4","3","5","5","5","5","5","3","3","3","5","5","5","Good logic","-"
"2023/06/08 11:04:18 AM GMT+8","Female","48 to 60","Diploma / STPM / Polytechnic","Familiar","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","4","5","4","5","5","5","5","5","5","5","Very convenient to use","Nil"
"2023/06/08 11:36:06 AM GMT+8","Female","31 to 47","Doctor of Philosophy (PhD)","Familiar","5","5","5","5","5","5","5","5","3","5","5","3","3","4","3","3","3","3","2","5","5","5","5","3","3","2","2","4","5","5","Produce sentiment of any statements","Not reflect uum student satisfaction because 1. Satisfaction towards some topic, and there is not topic. 2. Maybe the statement is not about the UUM. 3. Impossible to analyze each comments received since there are lots of comments everyday. 4. Better relate the comments with the caption and produce the sentiment about the caption based on the comments received."
"2023/06/08 1:17:22 PM GMT+8","Male","31 to 47","Master","Familiar","5","5","5","5","5","4","4","4","5","5","5","4","4","4","4","4","4","4","3","5","5","5","5","3","4","3","3","4","3","4","good analyzing tool","dictionary can be improved to analyze based on sentences."
"2023/06/11 9:25:40 AM GMT+8","Female","31 to 47","Master","Familiar","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","No need","None"
"2023/06/11 9:27:15 AM GMT+8","Male","31 to 47","Degree","Familiar","4","4","4","3","3","5","4","4","4","4","4","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","Can analyse the post and comment.","Still have human error while copying and pasting. The system require automatic analyze for better monitoring and fair."
"2023/06/12 12:41:55 PM GMT+8","Male","18 to 30","Degree","Familiar","4","5","5","5","5","5","4","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Developer give very crystal clear instiction.. keep it up..","-"
"2023/06/12 2:46:51 PM GMT+8","Female","31 to 47","Diploma / STPM / Polytechnic","Familiar","4","5","4","4","4","5","4","4","4","4","4","5","5","4","4","4","4","5","4","5","5","4","4","5","5","4","5","4","4","4","",""
"2023/06/12 2:49:26 PM GMT+8","Female","31 to 47","Diploma / STPM / Polytechnic","Familiar","5","5","5","4","4","4","4","5","5","4","4","5","4","4","4","4","4","5","4","4","4","5","5","5","5","4","4","5","4","4","",""
"2023/06/13 3:25:44 PM GMT+8","Male","31 to 47","Primary Education","Familiar","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","4","5","4","4","4","5","4","4","5","5","4","5","4","5","5","",""
"2023/06/13 3:27:10 PM GMT+8","Male","31 to 47","Degree","Familiar","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","",""
"2023/06/13 4:14:16 PM GMT+8","Female","31 to 47","Diploma / STPM / Polytechnic","Familiar","5","5","5","5","5","5","4","5","5","5","4","5","5","4","4","4","5","5","5","5","5","5","4","4","4","4","5","5","5","4","",""
"2023/06/13 4:23:38 PM GMT+8","Male","31 to 47","Degree","Familiar","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","4","5","5","5","5","",""
"2023/06/13 6:05:57 PM GMT+8","Male","31 to 47","Degree","Familiar","5","5","5","5","3","3","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","New approach and easy to use. ","No comment"
"2023/06/15 8:06:55 AM GMT+8","Male","31 to 47","Diploma / STPM / Polytechnic","Familiar","4","5","4","4","4","5","5","5","5","4","4","5","4","5","4","5","4","5","4","4","4","4","5","5","5","5","4","4","4","4","",""
"2023/06/15 8:07:48 AM GMT+8","Female","31 to 47","Degree","Familiar","4","5","4","5","5","5","5","4","5","5","4","4","5","5","4","4","4","5","4","5","5","5","5","5","4","4","5","4","5","4","",""
"2023/06/15 8:10:44 AM GMT+8","Female","48 to 60","Degree","Familiar","5","5","4","4","4","5","4","4","5","4","5","5","5","5","4","4","4","4","4","5","4","5","5","5","5","5","4","5","4","4","",""
"2023/06/16 10:23:41 AM GMT+8","Male","48 to 60","Degree","Familiar","5","5","5","4","4","5","4","4","5","4","4","4","4","5","4","4","4","5","4","5","5","5","5","5","4","4","4","4","5","5","",""
